OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length
10099,12127,Vallibona,12,10,3,77,,,158695733.50864,59643.7632987429
10100,12128,Vilafamés,12,10,106,1822,,,120534636.33727,60813.852677531
10101,12129,Villafranca del Cid/Vilafranca,12,10,81,2267,,,162143472.243401,68278.8136403931
10102,12130,Villahermosa del Río,12,10,16,477,,,186884314.497543,61631.9642352823
10103,12131,Villamalur,12,10,2,62,,,33188389.4942169,27318.609548582
10104,12132,Vilanova d'Alcolea,12,10,33,586,,,117840461.076904,59662.9003966416
10105,12133,Villanueva de Viver,12,10,1,61,,,10163700.620636,17022.7819412328
10106,12134,Vilar de Canes,12,10,2,177,,,27430978.6106014,24397.2415757463
10107,12135,Vila-real,12,10,3998,50334,,,93856908.2430038,44685.0197491662
10108,12136,"Vilavella, la",12,10,70,3215,,,10444346.6489487,15480.9791047803
10109,12137,Villores,12,10,1,42,,,9233538.52836609,13961.920624191
10110,12138,Vinaròs,12,10,2351,28292,,,165101192.464233,70961.9563004304
10111,12139,Vistabella del Maestrat,12,10,23,352,,,259927601.524956,98755.3242014408
10112,12140,Viver,12,10,105,1509,,,85011427.5005188,43202.2014964522
10113,12141,Zorita del Maestrazgo,12,10,9,118,,,120027328.516621,55139.0617631305
10114,12142,Zucaina,12,10,8,189,,,88320487.3453522,44391.0807481672
10115,12901,Alquerías del Niño Perdido,12,10,164,4466,,,21670180.3194809,23041.2307151648
10116,12902,Sant Joan de Moró,12,10,273,3084,,,49834489.858799,39419.2915410381
10117,13001,Abenójar,13,08,209,1438,,,699695973.541504,126060.113813003
10118,13002,Agudo,13,08,178,1720,,,381395630.879639,98360.4354132916
10119,13003,Alamillo,13,08,55,519,,,110562214.49585,47224.6006866488
10120,13004,Albaladejo,13,08,177,1201,,,80270965.4125977,37786.4420132249
10121,13005,Alcázar de San Juan,13,08,3102,30943,,,1114481622.99329,149615.147839978
10122,13006,Alcoba,13,08,68,610,,,513653045.200439,100244.376857076
10123,13007,Alcolea de Calatrava,13,08,191,1458,,,117301115.553833,61204.479150092
10124,13008,Alcubillas,13,08,44,493,,,78158165.3149414,33222.7004954493
10125,13009,Aldea del Rey,13,08,160,1698,,,253872365.681396,77011.0323816807
10126,13010,Alhambra,13,08,141,1009,,,959836768.081787,259264.293504226
10127,13011,Almadén,13,08,779,5537,,,395179350.890381,125320.241301797
10128,13012,Almadenejos,13,08,56,440,,,169498760.520508,63208.8271552906
10129,13013,Almagro,13,08,946,8983,,,412907575.833496,187882.677897033
10130,13014,Almedina,13,08,57,548,,,91717426.3172607,38587.8925748498
10131,13015,Almodóvar del Campo,13,08,563,6273,,,1984213203.1853,343114.043468447
10132,13016,Almuradiel,13,08,80,820,,,108098270.353882,46110.9203461906
10133,13017,Anchuras,13,08,18,323,,,388089840.4104,85459.6515673321
10134,13018,Arenas de San Juan,13,08,176,1051,,,105226070.562256,47757.8446334154
10135,13019,Argamasilla de Alba,13,08,892,6928,,,660064843.115845,122030.646984806
10136,13020,Argamasilla de Calatrava,13,08,635,5924,,,273161354.109009,70956.3506336554
10137,13021,Arroba de los Montes,13,08,63,452,,,102770564.703369,59618.8886380088
10138,13022,Ballesteros de Calatrava,13,08,57,384,,,95503376.4041748,42907.8772090562
10139,13023,Bolaños de Calatrava,13,08,1192,11882,,,145378998.957642,61638.9765167054
10140,13024,Brazatortas,13,08,121,1020,,,445390206.184082,188060.747311945
10141,13025,Cabezarados,13,08,50,322,,,132686156.800293,64668.7652620318
10142,13026,Cabezarrubias del Puerto,13,08,31,490,,,164759654.387817,90457.1977925672
10143,13027,Calzada de Calatrava,13,08,550,3911,,,674097955.217773,148976.494758843
10144,13028,Campo de Criptana,13,08,1269,13763,,,506589947.513672,129890.402304176
10145,13029,Cañada de Calatrava,13,08,10,103,,,49347835.3640137,35744.3606343839
10146,13030,Caracuel de Calatrava,13,08,13,141,,,16374544.90979,23251.6607797841
10147,13031,Carrión de Calatrava,13,08,383,3069,,,159018112.580078,82542.8250882361
10148,13032,Carrizosa,13,08,161,1251,,,42999240.7384033,26779.3203401403
10149,13033,Castellar de Santiago,13,08,164,1966,,,156307222.981201,48872.48240748
10150,13034,Ciudad Real,13,08,7166,74641,,,472158621.662964,170632.71026484
10151,13035,Corral de Calatrava,13,08,146,1153,,,245816345.618652,108577.075082095
10152,13036,"Cortijos, Los",13,08,91,904,,,158757741.651489,56111.3140529802
10153,13037,Cózar,13,08,87,1017,,,106748367.140991,45362.6425091286
10154,13038,Chillón,13,08,198,1857,,,342667169.158936,98477.5329200821
10155,13039,Daimiel,13,08,2369,18176,,,728111321.768188,146373.531616593
10156,13040,Fernán Caballero,13,08,134,1027,,,172976471.513428,72076.6007258818
10157,13041,Fontanarejo,13,08,36,265,,,128328321.27832,71800.3832101682
10158,13042,Fuencaliente,13,08,164,1028,,,440409411.647705,115622.120728371
10159,13043,Fuenllana,13,08,12,242,,,98757300.6434326,41469.9783070171
10160,13044,Fuente el Fresno,13,08,400,3311,,,199450448.45459,93379.938027638
10161,13045,Granátula de Calatrava,13,08,98,764,,,251446742.039307,98301.129550937
10162,13046,Guadalmez,13,08,110,763,,,118455296.527344,58875.621711177
10163,13047,Herencia,13,08,989,8431,,,379170986.172607,124447.029425281
10164,13048,Hinojosas de Calatrava,13,08,73,529,,,167895605.687378,74268.1043366187
10165,13049,Horcajo de los Montes,13,08,116,935,,,349140693.766846,105116.347263058
10166,13050,"Labores, Las",13,08,87,580,,,56955597.1760254,62764.1494611118
10167,13051,Luciana,13,08,57,382,,,188685283.50293,87320.9189969221
10168,13052,Malagón,13,08,888,8108,,,608501442.825195,132745.987740999
10169,13053,Manzanares,13,08,1713,18206,,,787606278.897583,156901.215948186
10170,13054,Membrilla,13,08,374,6050,,,238173121.56543,75431.068979656
10171,13055,Mestanza,13,08,88,711,,,604751437.757446,130893.770211165
10172,13056,Miguelturra,13,08,1740,15225,,,196379595.723511,99652.1427016315
10173,13057,Montiel,13,08,172,1364,,,445559624.014038,328719.60323895
10174,13058,Moral de Calatrava,13,08,558,5309,,,310207411.143799,97480.6282938096
10175,13059,Navalpino,13,08,29,231,,,327878661.486328,80174.0592137958
10176,13060,Navas de Estena,13,08,29,246,,,246176112.176758,87540.7517710458
10177,13061,Pedro Muñoz,13,08,925,7467,,,169886257.135376,69068.3945029017
10178,13062,Picón,13,08,67,671,,,98927791.2315674,56204.5505502013
10179,13063,Piedrabuena,13,08,567,4517,,,939763127.06189,164634.460295142
10180,13064,Poblete,13,08,238,2465,,,46029546.7088623,43586.1810117116
10181,13065,Porzuna,13,08,478,3633,,,353336948.946655,97838.9618493886
