id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
39QzVzhXFLs/GIWi6SNgjw==,-34.5896512,-58.4063059,Barrio Norte,4.0,4.0,135.0,119.0,880000.0,Departamento
n5K4Vfup1+Tb+wPw9sJkPg==,-34.5935394,-58.3993712,Barrio Norte,4.0,2.0,99.0,99.0,285000.0,Departamento
QOgn8m21Ew6WM31JLCAb3g==,-34.5952078475,-58.3787796866,Barrio Norte,5.0,2.0,145.0,140.0,369000.0,Departamento
sUJBT1x1cVksPorRrW/cfg==,-34.5940449,-58.3996229,Barrio Norte,5.0,2.0,149.0,141.0,330000.0,Departamento
11yxXjzwdx20NiguCcS0og==,-34.596843,-58.3845964,Barrio Norte,5.0,2.0,130.0,130.0,380000.0,Departamento
aD9/Q/ae1UOSluFnDqX+VQ==,-34.5981976,-58.3854889,Barrio Norte,5.0,2.0,150.0,150.0,328000.0,Departamento
R+N2DOJ9tvwFmUwJSeOsSw==,-34.5877123,-58.403512,Barrio Norte,5.0,2.0,105.0,98.0,295000.0,Departamento
6g/qaRAdplnYAqIjzCMBXw==,-34.589997,-58.4111878,Barrio Norte,4.0,1.0,164.0,158.0,410000.0,Departamento
BOMbKla+VWr1vmDy16XlLQ==,-34.5835313812,-58.3981023204,Barrio Norte,5.0,3.0,206.0,188.0,1100000.0,Departamento
8QUJhz1NcQ3sDZDUlTrFlA==,-34.5998322,-58.3969435,Barrio Norte,4.0,2.0,140.0,110.0,370000.0,Departamento
xtvstD2rb8u+WMSqX6bV7w==,-34.6002511,-58.378954,San Nicolás,6.0,2.0,122.0,122.0,170000.0,Departamento
kZHCHpwvKoOq94gxiULNGA==,-34.6787086,-58.4922759,Villa Lugano,4.0,1.0,70.0,70.0,60000.0,Departamento
9mJuYq8EEj3iKZrrk0nGHA==,-34.6218176,-58.3946176,San Cristobal,4.0,2.0,74.0,70.0,215000.0,Departamento
NLZag9P6fv5EzRx+Xq3kkg==,-34.583688,-58.469951,Villa Ortuzar,4.0,2.0,98.0,88.0,193510.0,Departamento
FEiPmb6v8Fh02VJFp3R3Mg==,-34.579121,-58.483849,Villa Urquiza,4.0,2.0,120.0,90.0,350000.0,Departamento
32ZhXwDBo7JjsC/Dpqz5zQ==,-34.578492,-58.487309,Villa Urquiza,4.0,3.0,148.0,121.0,429000.0,Departamento
9X08SVta9NkR4qDZk9NdtQ==,-34.638368,-58.438701,Parque Chacabuco,4.0,1.0,91.0,81.0,145000.0,Departamento
CdWj6ZG1EgkBzr/mmZ6lyw==,-34.5983981595,-58.4855907505,Villa del Parque,4.0,2.0,87.0,80.0,135000.0,Departamento
vUR76XJp9WvZgN4iO9rsAw==,-34.6443477997,-58.4650862217,Parque Avellaneda,4.0,1.0,75.0,75.0,84000.0,Departamento
mhnvglrfMqZ9GlKmfDN8jA==,-34.6522812,-58.3851436,Barracas,6.0,2.0,140.0,140.0,170000.0,PH
Yiqaoetv4fFDFVbmYbjXrg==,-34.5552621,-58.4609517,Belgrano,5.0,2.0,140.0,140.0,360000.0,PH
pSCM7oP+iA+WrTQQa/t3cg==,-34.6146368,-58.5109087,Villa Devoto,5.0,2.0,126.0,110.0,155000.0,PH
7mhE3TnSJqqVrODUJ17eoA==,-34.6174404525,-58.5161753497,Villa Devoto,5.0,1.0,154.0,97.0,145000.0,PH
b2y4B+EVVFWUG4TZlXpyIA==,-34.629429,-58.473279,Flores,5.0,3.0,200.0,135.0,265000.0,Casa
WeEt/eyyiSObdPpNZFuOug==,-34.5566028902,-58.4934330725,Saavedra,5.0,3.0,330.0,315.0,550000.0,Casa
WXUjDXtf6zASYop5Hn6ifQ==,-34.6390093,-58.4495162,Parque Chacabuco,7.0,2.0,464.0,320.0,640000.0,Casa
isfQsBMFQP/DhwggEAt17Q==,-34.6268803,-58.4610009,Flores,5.0,3.0,187.0,187.0,110000.0,Departamento
gy5J/LZcZVIJ7MvyCyKsdg==,-34.5482229,-58.4558864,Nuñez,5.0,4.0,314.0,289.0,2190000.0,Departamento
GSVGfO7bXsd80KuE/ccdvA==,-34.5938255,-58.3800208,Retiro,6.0,2.0,270.0,252.0,485000.0,Departamento
c9wc+INRJKCVDUGOsRFzgQ==,-34.573855,-58.4219,Palermo,5.0,4.0,250.0,235.0,1795000.0,Departamento
Ovji/NfscyZ+KQH8lHGV7Q==,-34.5762879396,-58.402840002,Palermo,6.0,3.0,143.0,140.0,448000.0,Departamento
FRswHRmiojkopW4WFmr53w==,-34.5635656865,-58.4496205535,Belgrano,5.0,3.0,194.0,174.0,475000.0,Departamento
09QUtnqhUyXHzOD+zte6EA==,-34.5961545,-58.3959942,Recoleta,5.0,2.0,228.0,228.0,600000.0,Departamento
cos3FfMSGJi3KyT1owCZNw==,-34.5870910225,-58.3867190253,Recoleta,4.0,2.0,115.0,110.0,370000.0,Departamento
zL1EBww9jvgB4F9CTaH/Iw==,-34.5924006,-58.3927419,Recoleta,6.0,2.0,379.0,343.0,1400000.0,Departamento
TiweWhppFzQjHodspmVCFw==,-34.5865689,-58.3880104,Recoleta,5.0,2.0,127.0,120.0,370000.0,Departamento
7unJrRidoRw+EijNuUixPw==,-34.5950218116,-58.3844460814,Recoleta,4.0,2.0,148.0,136.0,420000.0,Departamento
392SFsxSSuuqf6kDv14NUA==,-34.6143253777,-58.4007263857,Balvanera,5.0,2.0,153.0,153.0,240000.0,Departamento
nwZTNRW0Qft2R7CcvmV37A==,-34.6034253381,-58.4047534603,Balvanera,5.0,3.0,90.0,90.0,198000.0,Departamento
a904FhbdzxiE0BRVy3u4iQ==,-34.6238487,-58.4430424,Caballito,5.0,2.0,130.0,130.0,440000.0,Departamento
FRM5fyZbn+eD2rSMhHc5og==,-34.6098808,-58.3845348,Monserrat,5.0,2.0,140.0,124.0,185000.0,Departamento
j60NSC90p4DHuODYr3ibMA==,-34.5923368936,-58.3927716582,Barrio Norte,6.0,2.0,379.0,343.0,1400000.0,Departamento
Vv/7rZaBrFbV49CYO7BANw==,-34.5950308138,-58.3844604323,Barrio Norte,4.0,2.0,148.0,136.0,420000.0,Departamento
SVIhhuLfybiXxmlgTLDp5A==,-34.5864374025,-58.3879152905,Barrio Norte,5.0,2.0,127.0,120.0,370000.0,Departamento
lAD00bEwWaRS9s1kepyIUg==,-34.5905312753,-58.3912465941,Barrio Norte,7.0,2.0,288.0,276.0,630000.0,Departamento
k21KKpLeX2FQn8G0hxZLBw==,-34.5868922872,-58.3864132535,Barrio Norte,4.0,2.0,115.0,110.0,370000.0,Departamento
+5xM41PrZNxl9SixQjhARQ==,-34.5921884,-58.3790738,Barrio Norte,5.0,2.0,201.0,166.0,660000.0,Departamento
MjxIpua3fsONdePdkUGMbA==,-34.5607997,-58.443845,Belgrano,4.0,2.0,99.0,95.0,320000.0,Departamento
3n9rFFSiR7ji1D16cM64Yw==,-34.5929913,-58.3861891,Recoleta,7.0,2.0,248.0,248.0,690000.0,Departamento
H5qQMpAXyPA/oY4r1iIx1A==,-34.593309,-58.3958117,Barrio Norte,7.0,3.0,240.0,240.0,550000.0,Departamento
TyUBANye2wvmbb12ZcQUTw==,-34.602887,-58.408224,Abasto,5.0,4.0,289.0,169.0,380000.0,PH
